ID,Text,Cit_ID,Regulation,Regulator
13,"Retention of prohibited information. A creditor may retain in its files information that is prohibited by the Act or this part for use in evaluating applications, without violating the Act or this part, if the information was obtained: From any source prior to March 23, 1977;",CFR:12:1002:1002.12:a:1,Reg B,CFPB
14,"Retention of prohibited information. A creditor may retain in its files information that is prohibited by the Act or this part for use in evaluating applications, without violating the Act or this part, if the information was obtained: From consumer reporting agencies, an applicant, or others without the specific request of the creditor; or",CFR:12:1002:1002.12:a:2,Reg B,CFPB
15,"Retention of prohibited information. A creditor may retain in its files information that is prohibited by the Act or this part for use in evaluating applications, without violating the Act or this part, if the information was obtained: As required to monitor compliance with the Act and this part or other Federal or state statutes or regulations.",CFR:12:1002:1002.12:a:3,Reg B,CFPB
16,Definitions. For purposes of paragraph (a) of this section: Consummation. The term “consummation” means the time that a consumer becomes contractually obligated on a closed-end credit transaction.,CFR:12:1002:1002.14:b:1,Reg B,CFPB
17,"Definitions. For purposes of paragraph (a) of this section: Dwelling. The term “dwelling” means a residential structure that contains one to four units whether or not that structure is attached to real property. The term includes, but is not limited to, an individual condominium or cooperative unit, and a mobile or other manufactured home.",CFR:12:1002:1002.14:b:2,Reg B,CFPB
18,Definitions. For purposes of paragraph (a) of this section: Valuation. The term “valuation” means any estimate of the value of a dwelling developed in connection with an application for credit.,CFR:12:1002:1002.14:b:3,Reg B,CFPB
19,General rules Voluntary self-testing and correction. The report or results of a self-test that a creditor voluntarily conducts (or authorizes) are privileged as provided in this section. Data collection required by law or by any governmental authority is not a voluntary self-test.,CFR:12:1002:1002.15:a:1,Reg B,CFPB
20,General rules Corrective action required. The privilege in this section applies only if the creditor has taken or is taking appropriate corrective action.,CFR:12:1002:1002.15:a:2,Reg B,CFPB
21,General rules Other privileges. The privilege created by this section does not preclude the assertion of any other privilege that may also apply.,CFR:12:1002:1002.15:a:3,Reg B,CFPB
22,"Self-test defined Definition. A self-test is any program, practice, or study that: Is designed and used specifically to determine the extent or effectiveness of a creditor's compliance with the Act or this part; and",CFR:12:1002:1002.15:b:1:i,Reg B,CFPB
23,"Self-test defined Definition. A self-test is any program, practice, or study that: Creates data or factual information that is not available and cannot be derived from loan or application files or other records related to credit transactions.",CFR:12:1002:1002.15:b:1:ii,Reg B,CFPB
24,"Self-test defined Types of information privileged. The privilege under this section applies to the report or results of the self-test, data or factual information created by the self-test, and any analysis, opinions, and conclusions pertaining to the self-test report or results. The privilege covers workpapers or draft documents as well as final documents.",CFR:12:1002:1002.15:b:2,Reg B,CFPB
25,"Self-test defined Types of information not privileged. The privilege under this section does not apply to: Information about whether a creditor conducted a self-test, the methodology used or the scope of the self-test, the time period covered by the self-test, or the dates it was conducted; or",CFR:12:1002:1002.15:b:3:i,Reg B,CFPB
26,"Self-test defined Types of information not privileged. The privilege under this section does not apply to: Loan and application files or other business records related to credit transactions, and information derived from such files and records, even if the information has been aggregated, summarized, or reorganized to facilitate analysis.",CFR:12:1002:1002.15:b:3:ii,Reg B,CFPB
27,"Appropriate corrective action General requirement. For the privilege in this section to apply, appropriate corrective action is required when the self-test shows that it is more likely than not that a violation occurred, even though no violation has been formally adjudicated.",CFR:12:1002:1002.15:c:1,Reg B,CFPB
28,Appropriate corrective action Determining the scope of appropriate corrective action. A creditor must take corrective action that is reasonably likely to remedy the cause and effect of a likely violation by: Identifying the policies or practices that are the likely cause of the violation; and,CFR:12:1002:1002.15:c:2:i,Reg B,CFPB
29,Appropriate corrective action Determining the scope of appropriate corrective action. A creditor must take corrective action that is reasonably likely to remedy the cause and effect of a likely violation by: Assessing the extent and scope of any violation.,CFR:12:1002:1002.15:c:2:ii,Reg B,CFPB
30,"Appropriate corrective action Types of relief. Appropriate corrective action may include both prospective and remedial relief, except that to establish a privilege under this section: A creditor is not required to provide remedial relief to a tester used in a self-test;",CFR:12:1002:1002.15:c:3:i,Reg B,CFPB
31,"Appropriate corrective action Types of relief. Appropriate corrective action may include both prospective and remedial relief, except that to establish a privilege under this section: A creditor is only required to provide remedial relief to an applicant identified by the self-test as one whose rights were more likely than not violated; and",CFR:12:1002:1002.15:c:3:ii,Reg B,CFPB
32,"Appropriate corrective action Types of relief. Appropriate corrective action may include both prospective and remedial relief, except that to establish a privilege under this section: A creditor is not required to provide remedial relief to a particular applicant if the statute of limitations applicable to the violation expired before the creditor obtained the results of the self-test or the applicant is otherwise ineligible for such relief.",CFR:12:1002:1002.15:c:3:iii,Reg B,CFPB
33,Appropriate corrective action No admission of violation. Taking corrective action is not an admission that a violation occurred.,CFR:12:1002:1002.15:c:4,Reg B,CFPB
34,Scope of privilege General rule. The report or results of a privileged self-test may not be obtained or used: By a government agency in any examination or investigation relating to compliance with the Act or this part; or,CFR:12:1002:1002.15:d:1:i,Reg B,CFPB
35,Scope of privilege General rule. The report or results of a privileged self-test may not be obtained or used: By a government agency or an applicant (including a prospective applicant who alleges a violation of § 1002.4(b)) in any proceeding or civil action in which a violation of the Act or this part is alleged.,CFR:12:1002:1002.15:d:1:ii,Reg B,CFPB
36,"Scope of privilege Loss of privilege. The report or results of a self-test are not privileged under paragraph (d)(1) of this section if the creditor or a person with lawful access to the report or results: Voluntarily discloses any part of the report or results, or any other information privileged under this section, to an applicant or government agency or to the public;",CFR:12:1002:1002.15:d:2:i,Reg B,CFPB
37,"Scope of privilege Loss of privilege. The report or results of a self-test are not privileged under paragraph (d)(1) of this section if the creditor or a person with lawful access to the report or results: Discloses any part of the report or results, or any other information privileged under this section, as a defense to charges that the creditor has violated the Act or regulation; or",CFR:12:1002:1002.15:d:2:ii,Reg B,CFPB
38,Scope of privilege Loss of privilege. The report or results of a self-test are not privileged under paragraph (d)(1) of this section if the creditor or a person with lawful access to the report or results: Fails or is unable to produce written or recorded information about the self-test that is required to be retained under § 1002.12(b)(6) when the information is needed to determine whether the privilege applies. This paragraph does not limit any other penalty or remedy that may be available for a violation of § 1002.12.,CFR:12:1002:1002.15:d:2:iii,Reg B,CFPB
39,"Scope of privilege Limited use of privileged information. Notwithstanding paragraph (d)(1) of this section, the self-test report or results and any other information privileged under this section may be obtained and used by an applicant or government agency solely to determine a penalty or remedy after a violation of the Act or this part has been adjudicated or admitted. Disclosures for this limited purpose may be used only for the particular proceeding in which the adjudication or admission was made. Information disclosed under this paragraph (d)(3) remains privileged under paragraph (d)(1) of this section.",CFR:12:1002:1002.15:d:3,Reg B,CFPB
40,"Administrative enforcement. As set forth more fully in section 704 of the Act, administrative enforcement of the Act and this part regarding certain creditors is assigned to the Comptroller of the Currency, Board of Governors of the Federal Reserve System, Board of Directors of the Federal Deposit Insurance Corporation, National Credit Union Administration, Surface Transportation Board, Civil Aeronautics Board, Secretary of Agriculture, Farm Credit Administration, Securities and Exchange Commission, Small Business Administration, Secretary of Transportation, and Bureau of Consumer Financial Protection.",CFR:12:1002:1002.16:a:1,Reg B,CFPB
41,"Administrative enforcement. Except to the extent that administrative enforcement is specifically assigned to some government agency other than the Bureau, and subject to subtitle B of the Consumer Financial Protection Act of 2010, the Federal Trade Commission is authorized to enforce the requirements imposed under the Act and this part.",CFR:12:1002:1002.16:a:2,Reg B,CFPB
42,"Penalties and liabilities. Sections 702(g) and 706(a) and (b) of the Act provide that any creditor that fails to comply with a requirement imposed by the Act or this part is subject to civil liability for actual and punitive damages in individual or class actions. Pursuant to sections 702(g) and 704(b), (c), and (d) of the Act, violations of the Act or this part also constitute violations of other Federal laws. Liability for punitive damages can apply only to nongovernmental entities and is limited to $10,000 in individual actions and the lesser of $500,000 or 1 percent of the creditor's net worth in class actions. Section 706(c) provides for equitable and declaratory relief and section 706(d) authorizes the awarding of costs and reasonable attorney's fees to an aggrieved applicant in a successful action.",CFR:12:1002:1002.16:b:1,Reg B,CFPB
43,"Penalties and liabilities. As provided in section 706(f) of the Act, a civil action under the Act or this part may be brought in the appropriate United States district court without regard to the amount in controversy or in any other court of competent jurisdiction within five years after the date of the occurrence of the violation, or within one year after the commencement of an administrative enforcement proceeding or of a civil action brought by the Attorney General of the United States within five years after the alleged violation.",CFR:12:1002:1002.16:b:2,Reg B,CFPB
44,"Penalties and liabilities. If an agency responsible for administrative enforcement is unable to obtain compliance with the Act or this part, it may refer the matter to the Attorney General of the United States. If the Bureau, the Comptroller of the Currency, the Federal Deposit Insurance Corporation, the Board of Governors of the Federal Reserve System, or the National Credit Union Administration has reason to believe that one or more creditors have engaged in a pattern or practice of discouraging or denying applications in violation of the Act or this part, the agency shall refer the matter to the Attorney General. If the agency has reason to believe that one or more creditors violated section 701(a) of the Act, the agency may refer a matter to the Attorney General.",CFR:12:1002:1002.16:b:3,Reg B,CFPB
45,"Penalties and liabilities. On referral, or whenever the Attorney General has reason to believe that one or more creditors have engaged in a pattern or practice in violation of the Act or this part, the Attorney General may bring a civil action for such relief as may be appropriate, including actual and punitive damages and injunctive relief.",CFR:12:1002:1002.16:b:4,Reg B,CFPB
46,"Penalties and liabilities. If the Comptroller of the Currency, the Federal Deposit Insurance Corporation, the Board of Governors of the Federal Reserve System, or the National Credit Union Administration has reason to believe (as a result of a consumer complaint, a consumer compliance examination, or some other basis) that a violation of the Act or this part has occurred which is also a violation of the Fair Housing Act, and the matter is not referred to the Attorney General, the agency shall: Notify the Secretary of Housing and Urban Development; and",CFR:12:1002:1002.16:b:5:i,Reg B,CFPB
47,"Penalties and liabilities. If the Comptroller of the Currency, the Federal Deposit Insurance Corporation, the Board of Governors of the Federal Reserve System, or the National Credit Union Administration has reason to believe (as a result of a consumer complaint, a consumer compliance examination, or some other basis) that a violation of the Act or this part has occurred which is also a violation of the Fair Housing Act, and the matter is not referred to the Attorney General, the agency shall: Inform the applicant that the Secretary of Housing and Urban Development has been notified and that remedies may be available under the Fair Housing Act.",CFR:12:1002:1002.16:b:5:ii,Reg B,CFPB
48,"Failure of compliance. A creditor's failure to comply with § 1002.6(b)(6), § 1002.9, § 1002.10, § 1002.12 or § 1002.13 is not a violation if it results from an inadvertent error. On discovering an error under §§ 1002.9 and 1002.10, the creditor shall correct it as soon as possible. If a creditor inadvertently obtains the monitoring information regarding the ethnicity, race, and sex of the applicant in a dwelling-related transaction not covered by § 1002.13, the creditor may retain information and act on the application without violating the regulation.",CFR:12:1002:1002.16:c,Reg B,CFPB
49,"Foreign-language disclosures. Disclosures may be made in languages other than English, provided they are available in English upon request.",CFR:12:1002:1002.4:e,Reg B,CFPB
50,Permanent residency and immigration status. A creditor may inquire about the permanent residency and immigration status of an applicant or any other person in connection with a credit transaction.,CFR:12:1002:1002.5:e,Reg B,CFPB
51,"General rule concerning use of information. Except as otherwise provided in the Act and this part, a creditor may consider any information obtained, so long as the information is not used to discriminate against an applicant on a prohibited basis. The legislative history of the Act indicates that the Congress intended an “effects test” concept, as outlined in the employment field by the Supreme Court in the cases of Griggs v. Duke Power Co., 401 U.S. 424 (1971), and Albemarle Paper Co. v. Moody, 422 U.S. 405 (1975), to be applicable to a creditor's determination of creditworthiness.",CFR:12:1002:1002.6:a,Reg B,CFPB
52,State property laws. A creditor's consideration or application of state property laws directly or indirectly affecting creditworthiness does not constitute unlawful discrimination for the purposes of the Act or this part.,CFR:12:1002:1002.6:c,Reg B,CFPB
53,"Insurance. A creditor shall not refuse to extend credit and shall not terminate an account because credit life, health, accident, disability, or other credit-related insurance is not available on the basis of the applicant's age.",CFR:12:1002:1002.7:e,Reg B,CFPB
54,"Oral notifications by small-volume creditors. In the case of a creditor that did not receive more than 150 applications during the preceding calendar year, the requirements of this section (including statements of specific reasons) are satisfied by oral notifications.",CFR:12:1002:1002.9:d,Reg B,CFPB
55,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: The following information about the applicant or borrower: Ethnicity, race, and sex, and whether this information was collected on the basis of visual observation or surname;",CFR:12:1003:1003.4:a:10:i,HMDA,CFPB
56,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: The following information about the applicant or borrower: Age; and",CFR:12:1003:1003.4:a:10:ii,HMDA,CFPB
57,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: The following information about the applicant or borrower: Except for covered loans or applications for which the credit decision did not consider or would not have considered income, the gross annual income relied on in making the credit decision or, if a credit decision was not made, the gross annual income relied on in processing the application.",CFR:12:1003:1003.4:a:10:iii,HMDA,CFPB
58,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: The type of entity purchasing a covered loan that the financial institution originates or purchases and then sells within the same calendar year.",CFR:12:1003:1003.4:a:11,HMDA,CFPB
59,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items:  For covered loans and applications that are approved but not accepted, and that are subject to Regulation Z, 12 CFR part 1026, other than assumptions, purchased covered loans, and reverse mortgages, the difference between the covered loan's annual percentage rate and the average prime offer rate for a comparable transaction as of the date the interest rate is set.",CFR:12:1003:1003.4:a:12:i,HMDA,CFPB
60,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items:  “Average prime offer rate” means an annual percentage rate that is derived from average interest rates and other loan pricing terms currently offered to consumers by a set of creditors for mortgage loans that have low-risk pricing characteristics. The Bureau publishes tables of average prime offer rates by transaction type at least weekly and also publishes the methodology it uses to derive these rates.",CFR:12:1003:1003.4:a:12:ii,HMDA,CFPB
61,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: For covered loans subject to the Home Ownership and Equity Protection Act of 1994, as implemented in Regulation Z, 12 CFR 1026.32, whether the covered loan is a high-cost mortgage under Regulation Z, 12 CFR 1026.32(a).",CFR:12:1003:1003.4:a:13,HMDA,CFPB
62,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: The lien status (first or subordinate lien) of the property identified under paragraph (a)(9) of this section.",CFR:12:1003:1003.4:a:14,HMDA,CFPB
63,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items:  Except for purchased covered loans, the credit score or scores relied on in making the credit decision and the name and version of the scoring model used to generate each credit score.",CFR:12:1003:1003.4:a:15:i,HMDA,CFPB
64,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items:  For purposes of this paragraph (a)(15), “credit score” has the meaning set forth in 15 U.S.C. 1681g(f)(2)(A).",CFR:12:1003:1003.4:a:15:ii,HMDA,CFPB
65,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: The principal reason or reasons the financial institution denied the application, if applicable.",CFR:12:1003:1003.4:a:16,HMDA,CFPB
66,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: For covered loans subject to Regulation Z, 12 CFR 1026.43(c), the following information: If a disclosure is provided for the covered loan pursuant to Regulation Z, 12 CFR 1026.19(f), the amount of total loan costs, as disclosed pursuant to Regulation Z, 12 CFR 1026.38(f)(4); or",CFR:12:1003:1003.4:a:17:i,HMDA,CFPB
67,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: For covered loans subject to Regulation Z, 12 CFR 1026.43(c), the following information: If the covered loan is not subject to the disclosure requirements in Regulation Z, 12 CFR 1026.19(f), and is not a purchased covered loan, the total points and fees charged in connection with the covered loan, expressed in dollars and calculated pursuant to Regulation Z, 12 CFR 1026.32(b)(1).",CFR:12:1003:1003.4:a:17:ii,HMDA,CFPB
68,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: For covered loans subject to the disclosure requirements in Regulation Z, 12 CFR 1026.19(f), the total of all itemized amounts that are designated borrower-paid at or before closing, as disclosed pursuant to Regulation Z, 12 CFR 1026.38(f)(1).",CFR:12:1003:1003.4:a:18,HMDA,CFPB
69,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: For covered loans subject to the disclosure requirements in Regulation Z, 12 CFR 1026.19(f), the points paid to the creditor to reduce the interest rate, expressed in dollars, as described in Regulation Z, 12 CFR 1026.37(f)(1)(i), and disclosed pursuant to Regulation Z, 12 CFR 1026.38(f)(1).",CFR:12:1003:1003.4:a:19,HMDA,CFPB
70,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: Whether the covered loan is, or in the case of an application would have been, insured by the Federal Housing Administration, guaranteed by the Department of Veterans Affairs, or guaranteed by the Rural Housing Service or the Farm Service Agency.",CFR:12:1003:1003.4:a:2,HMDA,CFPB
71,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: For covered loans subject to the disclosure requirements in Regulation Z, 12 CFR 1026.19(f), the amount of lender credits, as disclosed pursuant to Regulation Z, 12 CFR 1026.38(h)(3).",CFR:12:1003:1003.4:a:20,HMDA,CFPB
72,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: The interest rate applicable to the approved application, or to the covered loan at closing or account opening.",CFR:12:1003:1003.4:a:21,HMDA,CFPB
73,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: For covered loans or applications subject to Regulation Z, 12 CFR part 1026, other than reverse mortgages or purchased covered loans, the term in months of any prepayment penalty, as defined in Regulation Z, 12 CFR 1026.32(b)(6)(i) or (ii), as applicable.",CFR:12:1003:1003.4:a:22,HMDA,CFPB
74,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: Except for purchased covered loans, the ratio of the applicant's or borrower's total monthly debt to the total monthly income relied on in making the credit decision.",CFR:12:1003:1003.4:a:23,HMDA,CFPB
75,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: Except for purchased covered loans, the ratio of the total amount of debt secured by the property to the value of the property relied on in making the credit decision.",CFR:12:1003:1003.4:a:24,HMDA,CFPB
76,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: The scheduled number of months after which the legal obligation will mature or terminate or would have matured or terminated.",CFR:12:1003:1003.4:a:25,HMDA,CFPB
77,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: The number of months, or proposed number of months in the case of an application, until the first date the interest rate may change after closing or account opening.",CFR:12:1003:1003.4:a:26,HMDA,CFPB
78,"Data format and itemization. A financial institution shall collect data regarding applications for covered loans that it receives, covered loans that it originates, and covered loans that it purchases for each calendar year. A financial institution shall collect data regarding requests under a preapproval program, as defined in § 1003.2(b)(2), only if the preapproval request is denied, is approved by the financial institution but not accepted by the applicant, or results in the origination of a home purchase loan. The data collected shall include the following items: Whether the contractual terms include or would have included any of the following: A balloon payment as defined in Regulation Z, 12 CFR 1026.18(s)(5)(i);",CFR:12:1003:1003.4:a:27:i,HMDA,CFPB
